timestamp,open,high,low,close,volume
2024-09-25,152.71,153.9,147.28,147.95,1151591.302446
2024-09-26,147.97,158.09,146.56,155.51,851967.190714
2024-09-27,155.5,161.49,153.91,157.63,713510.76038
2024-09-28,157.64,159.43,155.0,156.79,289597.496327
2024-09-29,156.79,161.77,155.11,158.46,409896.895682
2024-09-30,158.46,159.77,151.67,152.5,543196.21407
2024-10-01,152.5,157.35,142.21,145.16,1001193.222422
2024-10-02,145.16,148.95,138.58,140.2,679553.760864
2024-10-03,140.19,142.95,133.05,136.79,698709.933291
2024-10-04,136.79,144.58,135.93,143.23,615463.984015
2024-10-05,143.24,144.92,141.07,142.6,230974.755164
2024-10-06,142.61,146.84,142.0,146.48,325870.212577
2024-10-07,146.47,152.28,143.46,143.98,640381.305621
2024-10-08,143.98,145.6,141.16,143.51,393793.960474
2024-10-09,143.49,145.34,138.67,139.33,418143.99872
2024-10-10,139.33,140.9,135.51,139.05,419473.813393
2024-10-11,139.06,146.54,138.72,145.5,441842.508761
2024-10-12,145.5,147.29,144.61,146.38,214468.006348
2024-10-13,146.38,148.86,144.46,147.72,270705.493043
2024-10-14,147.72,158.1,146.79,157.58,757901.302612
2024-10-15,157.58,159.64,150.25,154.74,834225.804503
2024-10-16,154.74,158.4,153.01,154.25,556022.982042
2024-10-17,154.25,155.72,147.7,150.5,505154.401733
2024-10-18,150.5,156.66,149.64,154.95,433284.02549
2024-10-19,154.95,159.83,153.6,159.77,337448.647736
2024-10-20,159.77,167.95,157.6,167.41,695973.607358
2024-10-21,167.42,171.72,161.3,166.16,1154132.382141
2024-10-22,166.14,170.96,163.0,167.59,759809.343656
2024-10-23,167.6,174.26,164.14,170.86,1018643.881269
2024-10-24,170.86,179.3,170.51,177.2,759222.263497
2024-10-25,177.21,177.56,158.96,164.89,1236679.638047
2024-10-26,164.88,173.23,162.32,170.89,642400.649549
2024-10-27,170.89,178.28,170.3,176.64,491877.670913
2024-10-28,176.65,179.8,172.48,178.29,840587.507026
2024-10-29,178.3,183.4,176.42,179.43,923967.463792
2024-10-30,179.43,181.29,173.16,174.86,647784.924569
2024-10-31,174.87,176.52,167.58,168.66,664597.123453
2024-11-01,168.67,174.05,163.41,166.1,777972.218765
2024-11-02,166.1,168.58,162.11,166.16,355580.392269
2024-11-03,166.17,166.61,157.9,162.5,721493.495275
2024-11-04,162.5,165.02,155.11,157.95,593507.114952
2024-11-05,157.95,169.29,156.89,166.62,703325.160048
2024-11-06,166.63,190.0,166.4,186.56,2332121.547919
2024-11-07,186.57,197.85,185.8,196.33,982584.28036
2024-11-08,196.34,205.14,195.65,199.85,1202013.845368
2024-11-09,199.85,203.41,194.94,199.91,698790.692805
2024-11-10,199.93,215.31,198.74,210.08,1659142.252314
2024-11-11,210.08,224.05,204.12,222.14,1574848.875812
2024-11-12,222.14,225.2,204.82,211.63,2003596.64403
2024-11-13,211.64,220.43,200.7,215.16,1728239.93027
2024-11-14,215.16,222.82,206.4,209.55,1301073.524008
2024-11-15,209.53,220.68,204.48,218.48,827995.507587
2024-11-16,218.48,221.84,213.4,215.73,783407.878101
2024-11-17,215.73,242.11,212.09,237.46,1719325.055671
2024-11-18,237.46,248.5,234.01,239.78,1344160.79254
2024-11-19,239.77,247.49,233.47,237.62,1266666.267928
2024-11-20,237.61,242.49,230.5,235.47,924726.127442
2024-11-21,235.48,259.9,229.54,256.4,1676488.127397
2024-11-22,256.41,264.32,251.5,256.95,1159636.3936
2024-11-23,256.95,264.0,252.72,254.89,938719.123663
2024-11-24,254.89,259.78,240.95,252.75,722388.691032
2024-11-25,252.78,256.66,231.18,234.22,1032898.850825
2024-11-26,234.15,239.69,221.78,230.69,1056453.769231
2024-11-27,230.68,243.4,227.54,241.97,853201.089187
2024-11-28,241.96,245.32,232.85,237.61,565978.162882
2024-11-29,237.61,246.8,236.51,243.33,672069.848516
